category,country,year,link,city,lat,lng
International Conference,Greece,2006,https://iwp.uiowa.edu/programs/international-conferences/the-new-symposium/2006,Athens,37.9838096,23.7275388
Reading tour,Syria,2007,https://iwp.uiowa.edu/programs/reading-abroad/2007-middle-east,Aleppo,36.2021047,37.1342603
Reading tour,Syria,2007,https://iwp.uiowa.edu/programs/reading-abroad/2007-middle-east,Damascus,33.5138073,36.2765279
Reading tour,Jordan,2007,https://iwp.uiowa.edu/programs/reading-abroad/2007-middle-east,Amman,31.9453666,35.9283716
Reading tour,Israel,2007,https://iwp.uiowa.edu/programs/reading-abroad/2007-middle-east,Jerusalem,31.768319,35.21371
Reading tour,Palestine,2007,https://iwp.uiowa.edu/programs/reading-abroad/2007-middle-east,Ramallah,31.9037641,35.2034184
Reading tour,Turkey,2007,https://iwp.uiowa.edu/programs/reading-abroad/2007-middle-east,Ankara,39.9333635,32.8597419
International Conference,Greece,2007,https://iwp.uiowa.edu/programs/international-conferences/the-new-symposium/2007,Athens,37.9838096,23.7275388
Reading tour,Cyprus,2008,http://iwp.uiowa.edu/programs/reading-abroad/2008-cyprus,Nicosia,35.1855659,33.38227639999999
Reading tour,Oman,2008,http://iwp.uiowa.edu/programs/reading-abroad/2008-middle-east,Muscat,23.58589,58.4059227
Reading tour,Saudi Arabia,2008,http://iwp.uiowa.edu/programs/reading-abroad/2008-middle-east,Riyadh,24.7135517,46.6752957
Reading tour,Saudi Arabia,2008,http://iwp.uiowa.edu/programs/reading-abroad/2008-middle-east,Dhahran,26.2361248,50.0393017
Reading tour,Saudi Arabia,2008,http://iwp.uiowa.edu/programs/reading-abroad/2008-middle-east,Jeddah,21.2854067,39.2375507
Reading tour,Yemen,2008,http://iwp.uiowa.edu/programs/reading-abroad/2008-middle-east,Sana'a,15.3694451,44.1910066
International Conference,Greece,2008,https://iwp.uiowa.edu/programs/international-conferences/the-new-symposium/2008,Athens,37.9838096,23.7275388
Reading tour,Kenya,2009,https://iwp.uiowa.edu/programs/reading-abroad/2009-kenya-tour,Nairobi,-1.2920659,36.8219462
International Conference,Morocco,2009,https://iwp.uiowa.edu/programs/international-conferences/souk-ukaz/2009,Fes,34.0181246,-5.0078451
International Conference,China,2009,https://iwp.uiowa.edu/programs/life-of-discovery/2009,Beijing,39.90419989999999,116.4073963
Reading tour,Morocco,2009,https://iwp.uiowa.edu/programs/reading-abroad/2009-Tunis-Morocco-Tour,Casablanca,33.5731104,-7.589843399999999
Reading tour,Tunisia,2009,https://iwp.uiowa.edu/programs/reading-abroad/2009-Tunis-Morocco-Tour,Tunis,36.8064948,10.1815316
International Conference,Morocco,2010,http://iwp.uiowa.edu/programs/international-conferences/souk-ukaz/2010,Essaouira,31.5084926,-9.7595041
International Conference,China,2010,https://iwp.uiowa.edu/programs/life-of-discovery/2010,Beijing,39.90419989999999,116.4073963
International Conference,China,2011,https://iwp.uiowa.edu/programs/life-of-discovery/2011,Beijing,39.90419989999999,116.4073963
Reading tour,Nepal,2011,https://iwp.uiowa.edu/programs/reading-abroad/2011-nepal-pakistan-uae-afghanistan,Kathmandu,27.7172453,85.3239605
Reading tour,Pakistan,2011,https://iwp.uiowa.edu/programs/reading-abroad/2011-nepal-pakistan-uae-afghanistan,Islamabad,33.7293882,73.0931461
Reading tour,United Arab Emirates,2011,https://iwp.uiowa.edu/programs/reading-abroad/2011-nepal-pakistan-uae-afghanistan,Abu Dhabi,24.453884,54.3773438
Reading tour,Afghanistan,2011,https://iwp.uiowa.edu/programs/reading-abroad/2011-nepal-pakistan-uae-afghanistan,Kabul,34.5553494,69.207486
Reading tour,Uruguay,2011,http://iwp.uiowa.edu/programs/reading-abroad/2011-uruguay-bolivia,Montevideo,-34.9011127,-56.16453139999999
Reading tour,Bolivia,2011,http://iwp.uiowa.edu/programs/reading-abroad/2011-uruguay-bolivia,Sucre,-19.0195852,-65.2619615
Reading tour,Kenya,2011,https://iwp.uiowa.edu/programs/reading-abroad/2011-kenya-tour,Nairobi,-1.2920659,36.8219462
Reading tour,DR Congo,2012,http://iwp.uiowa.edu/programs/reading-abroad/2012-congo,Kinshasa,-4.4419311,15.2662931
Reading tour,DR Congo,2012,http://iwp.uiowa.edu/programs/reading-abroad/2012-congo,Brazzaville,-4.2633597,15.2428853
International Conference,China,2012,https://iwp.uiowa.edu/programs/life-of-discovery/2012,Beijing,39.90419989999999,116.4073963
Reading tour,Brazil,2012,http://iwp.uiowa.edu/programs/reading-abroad/2012-Brazil,Fortaleza,-3.7319029,-38.5267393
Reading tour,Brazil,2012,http://iwp.uiowa.edu/programs/reading-abroad/2012-Brazil,Sao Paolo,-23.5505199,-46.63330939999999
Reading tour,Brazil,2012,http://iwp.uiowa.edu/programs/reading-abroad/2012-Brazil,Brasilia,-15.7941569,-47.8825289
Reading tour,Cambodia,2012,https://iwp.uiowa.edu/programs/reading-abroad/2012-cambodia-vietnam-tour,Phnom Penh,11.5448729,104.8921668
Reading tour,Cambodia,2012,https://iwp.uiowa.edu/programs/reading-abroad/2012-cambodia-vietnam-tour,Kampong Speu,11.6155109,104.3791912
Reading tour,Cambodia,2012,https://iwp.uiowa.edu/programs/reading-abroad/2012-cambodia-vietnam-tour,Krong Kampong Chhnang,12.2613926,104.6762738
Reading tour,Cambodia,2012,https://iwp.uiowa.edu/programs/reading-abroad/2012-cambodia-vietnam-tour,Krong Siem Reap,13.3670968,103.8448134
Reading tour,Vietnam,2012,https://iwp.uiowa.edu/programs/reading-abroad/2012-cambodia-vietnam-tour,Hanoi,21.0277644,105.8341598
Reading tour,Mozambique,2012,http://iwp.uiowa.edu/programs/reading-abroad/2012-Mozambique-and-Zimbabwe-Tour,Maputo,-25.891968,32.6051351
Reading tour,Zimbabwe,2012,http://iwp.uiowa.edu/programs/reading-abroad/2012-Mozambique-and-Zimbabwe-Tour,Harare,-17.8251657,31.03351
Reading tour,Zimbabwe,2012,http://iwp.uiowa.edu/programs/reading-abroad/2012-Mozambique-and-Zimbabwe-Tour,Masvingo,-20.0791909,30.8384093
International Conference,Turkey,2013,http://iwp.uiowa.edu/programs/international-conferences/the-same-gate,Ankara,39.9333635,32.8597419
Reading tour,Iraq,2013,http://iwp.uiowa.edu/programs/reading-abroad/2013-Iraq,Basrah,30.5081033,47.7834888
Reading tour,Iraq,2013,http://iwp.uiowa.edu/programs/reading-abroad/2013-Iraq,Baghdad,33.3128057,44.3614875
Reading tour,Iraq,2013,http://iwp.uiowa.edu/programs/reading-abroad/2013-Iraq,Erbil,36.2062933,44.0088697
Reading tour,Sudan,2013,http://iwp.uiowa.edu/programs/reading-abroad/2013-Sudan-and-South-Sudan,Khartoum,15.5006544,32.5598994
Reading tour,South Sudan,2013,http://iwp.uiowa.edu/programs/reading-abroad/2013-Sudan-and-South-Sudan,Juba,4.859363,31.57125
Reading tour,Uzbekistan,2013,http://iwp.uiowa.edu/programs/reading-abroad/2013-Uzbekistan-and-Turkmenistan,Tashkent,41.2994958,69.2400734
Reading tour,Turkmenistan,2013,http://iwp.uiowa.edu/programs/reading-abroad/2013-Uzbekistan-and-Turkmenistan,Ashgabat,37.9600766,58.32606289999999
Reading tour,United Arab Emirates,2013,http://iwp.uiowa.edu/programs/reading-abroad/2013-United-Arab-Emirates,Abu Dhabi,24.453884,54.3773438
Reading tour,United Arab Emirates,2013,http://iwp.uiowa.edu/programs/reading-abroad/2013-United-Arab-Emirates,Dubai,25.2048493,55.2707828
