# ----------------------------------------,,,,,
# All Web Site Data,,,,,
# Export Metrics (Filter U.S.A.),,,,,
# 20150101-20170730,,,,,
# ----------------------------------------,,,,,
,,,,,
Year,Country ISO Code,Page,New Users,Unique Pageviews,Pageviews
2017,BD,/poetry-and-plays-2017,"6,956","8,211","9,909"
2017,IN,/poetry-and-plays-2017,"3,502","4,925","6,416"
2017,NP,/poetry-and-plays-2017,"1,844","2,294","2,797"
2017,PK,/poetry-and-plays-2017,"1,315","1,708","2,094"
2017,IN,/fiction-and-nonfiction-2017,"1,253","2,017","2,919"
2016,CA,/how-writers-write-fiction-2016,"1,066","1,570","2,011"
2016,GB,/how-writers-write-fiction-2016,"1,046","1,622","2,068"
2017,EG,/poetry-and-plays-2017,957,"1,191","1,322"
2017,GB,/fiction-and-nonfiction-2017,903,"1,885","2,745"
2017,CA,/fiction-and-nonfiction-2017,841,"1,821","2,627"
2016,AU,/how-writers-write-fiction-2016,820,"1,507","1,946"
2017,AU,/fiction-and-nonfiction-2017,746,"1,409","1,974"
2015,CA,/how-writers-write-fiction-2015/home,635,"3,831","5,764"
2017,NG,/fiction-and-nonfiction-2017,615,"1,061","1,619"
2017,PH,/poetry-and-plays-2017,562,907,"1,255"
2016,BR,/how-writers-write-fiction-2016,554,879,"1,075"
2017,AF,/poetry-and-plays-2017,481,641,812
2017,PH,/fiction-and-nonfiction-2017,473,895,"1,340"
2016,IN,/how-writers-write-fiction-2016,469,825,"1,046"
2017,IQ,/poetry-and-plays-2017,464,564,631
2017,MM,/poetry-and-plays-2017,451,603,825
2017,BR,/fiction-and-nonfiction-2017,450,620,874
2017,DZ,/poetry-and-plays-2017,435,587,701
2017,NG,/poetry-and-plays-2017,368,718,"1,015"
2017,GB,/poetry-and-plays-2017,332,895,"1,255"
2017,PK,/fiction-and-nonfiction-2017,323,497,747
2016,FR,/how-writers-write-fiction-2016,314,400,462
2017,ID,/poetry-and-plays-2017,271,359,413
2015,CA,/how-writers-write-fiction-2015,267,486,577
2017,ET,/fiction-and-nonfiction-2017,265,377,614
2016,CA,/how-writers-write-fiction-2016/home,263,"2,443","3,408"
2016,DE,/how-writers-write-fiction-2016,258,369,434
2016,IN,/how-writers-write-fiction-2015,257,339,442
2017,BT,/poetry-and-plays-2017,256,323,383
2016,GB,/whitman-2016/,250,313,355
2016,PK,/how-writers-write-fiction-2016,247,464,551
2017,MN,/poetry-and-plays-2017,244,275,311
2016,NZ,/how-writers-write-fiction-2016,241,452,578
2016,CA,/whitman-2016/,237,312,391
2017,ZA,/fiction-and-nonfiction-2017,235,645,900
2017,NZ,/fiction-and-nonfiction-2017,227,623,865
2017,SO,/poetry-and-plays-2017,225,270,309
2016,GB,/how-writers-write-fiction-2015,219,303,370
2015,GB,/how-writers-write-fiction-2015,217,656,757
2017,LK,/poetry-and-plays-2017,216,262,350
2017,AU,/poetry-and-plays-2017,210,524,721
2015,GB,/how-writers-write-fiction-2015/home,208,"2,159","3,413"
2017,CA,/poetry-and-plays-2017,204,629,877
2016,CA,/how-writers-write-fiction-2015,203,256,309
2015,IN,/how-writers-write-fiction-2015/home,201,"1,412","1,919"
2015,AU,/how-writers-write-fiction-2015/home,200,"1,506","2,131"
2017,GY,/poetry-and-plays-2017,195,254,301
2017,MA,/poetry-and-plays-2017,189,246,314
2015,AU,/how-writers-write-fiction-2015,186,321,379
2015,IN,/how-writers-write-fiction-2015,186,470,552
2015,TH,/how-writers-write-fiction-2015/home,186,410,721
2017,TN,/poetry-and-plays-2017,181,245,304
2016,GB,/,176,178,178
2016,RU,/how-writers-write-fiction-2016,174,208,237
2017,NP,/fiction-and-nonfiction-2017,173,229,342
2016,GB,/how-writers-write-fiction-2016/home,168,"2,169","3,044"
2017,CN,/fiction-and-nonfiction-2017,168,196,262
2016,IE,/how-writers-write-fiction-2016,167,260,365
2016,MX,/how-writers-write-fiction-2016,165,210,244
2016,MA,/how-writers-write-fiction-2016,160,276,328
2016,AU,/how-writers-write-fiction-2016/home,158,"2,274","3,099"
2016,SE,/how-writers-write-fiction-2016,158,181,210
2017,IE,/fiction-and-nonfiction-2017,158,246,374
2017,RU,/fiction-and-nonfiction-2017,157,214,318
2017,DE,/fiction-and-nonfiction-2017,155,244,359
2017,SG,/fiction-and-nonfiction-2017,154,405,606
2016,IN,/whitman-2016/,152,280,329
2016,AU,/how-writers-write-fiction-2015,150,198,234
2016,AU,/whitman-2016/,148,190,215
2016,NL,/how-writers-write-fiction-2016,145,230,308
2017,IN,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/home,143,"2,980","5,610"
2015,BR,/how-writers-write-fiction-2015/home,142,643,994
2016,ES,/how-writers-write-fiction-2016,140,203,272
2017,FR,/fiction-and-nonfiction-2017,135,224,331
2016,MY,/how-writers-write-fiction-2016,134,188,235
2016,ZA,/how-writers-write-fiction-2016,133,281,368
2017,SA,/poetry-and-plays-2017,132,188,249
2017,ET,/poetry-and-plays-2017,130,217,277
2017,KE,/poetry-and-plays-2017,129,215,291
2017,LY,/poetry-and-plays-2017,128,149,172
2016,PH,/how-writers-write-fiction-2016,122,208,277
2017,KH,/poetry-and-plays-2017,122,127,139
2017,MX,/fiction-and-nonfiction-2017,119,250,332
2016,SG,/how-writers-write-fiction-2016,118,189,224
2017,MM,/poetry-and-plays-2017/,118,184,250
2017,SR,/poetry-and-plays-2017,118,140,155
2017,BR,/poetry-and-plays-2017,117,213,297
2017,MY,/fiction-and-nonfiction-2017,117,227,337
2015,BR,/how-writers-write-fiction-2015,114,245,302
2016,NG,/how-writers-write-fiction-2016,114,205,282
2017,MZ,/fiction-and-nonfiction-2017,114,135,204
2017,KE,/fiction-and-nonfiction-2017,112,183,273
2015,CH,/how-writers-write-fiction-2015/home,111,262,373
2015,CA,/how-writers-write-fiction-2015/oe/,108,"4,043","9,781"
2016,EG,/how-writers-write-fiction-2016,106,147,180
2017,CM,/poetry-and-plays-2017,106,128,175
2017,GH,/poetry-and-plays-2017,106,145,203
2017,JO,/poetry-and-plays-2017,104,179,245
2016,BR,/how-writers-write-fiction-2015,103,145,191
2017,NL,/fiction-and-nonfiction-2017,103,148,220
2017,EG,/fiction-and-nonfiction-2017,102,173,255
2017,GB,/poetry-and-plays-2017/,102,181,191
2017,CA,/how-writers-write-fiction-2015,101,111,132
2017,ID,/fiction-and-nonfiction-2017,99,164,262
2017,IN,/how-writers-write-fiction-2015,99,121,148
2017,BD,/fiction-and-nonfiction-2017,96,133,215
2017,IN,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/856276,96,703,"1,071"
2017,ZA,/poetry-and-plays-2017,96,216,311
2017,LR,/poetry-and-plays-2017,93,109,144
2017,MV,/poetry-and-plays-2017,92,112,126
2017,GN,/poetry-and-plays-2017,91,102,109
2015,IT,/how-writers-write-fiction-2015/home,89,343,461
2016,CA,/how-writers-write-fiction-2016/lecture_pages/845715,89,"1,045","1,379"
2016,BR,/how-writers-write-fiction-2016/home,87,685,"1,018"
2017,CA,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/home,87,"3,190","6,154"
2017,JO,/fiction-and-nonfiction-2017,87,129,176
2017,CA,/poetry-and-plays-2017/,86,154,191
2017,ES,/fiction-and-nonfiction-2017,86,172,262
2017,GR,/fiction-and-nonfiction-2017,86,193,266
2017,IN,/https://app.novoed.com/#!/courses/poetry-and-plays-2017/lecture_pages/858469,85,503,940
2016,NP,/how-writers-write-fiction-2016,82,103,129
2017,LA,/poetry-and-plays-2017,81,94,103
2015,AU,/how-writers-write-fiction-2015/oe/,78,"1,872","4,112"
2017,AE,/poetry-and-plays-2017,78,113,170
2017,DE,/poetry-and-plays-2017,78,158,227
2017,VE,/poetry-and-plays-2017,78,103,130
2016,NZ,/whitman-2016/,77,106,129
2017,AE,/fiction-and-nonfiction-2017,77,137,203
2017,GM,/poetry-and-plays-2017,77,91,116
2017,IE,/poetry-and-plays-2017,77,181,263
2017,AU,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/home,76,"2,486","4,250"
2017,AU,/poetry-and-plays-2017/,76,130,148
2015,CA,/how-writers-write-fiction-2015/?referral_token=NL111015,75,87,130
2017,CA,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/856276,75,547,813
2016,PK,/whitman-2016/,73,97,107
2017,IN,/https://app.novoed.com/#!/courses/poetry-and-plays-2017/home,73,"1,082","2,052"
2015,NZ,/how-writers-write-fiction-2015,72,224,277
2017,IT,/fiction-and-nonfiction-2017,72,190,313
2017,SG,/poetry-and-plays-2017,72,178,222
2017,UG,/fiction-and-nonfiction-2017,71,109,167
2016,BR,/whitman-2016/,70,86,99
2017,MU,/fiction-and-nonfiction-2017,70,133,217
2015,FR,/how-writers-write-fiction-2015,68,157,196
2015,PH,/how-writers-write-fiction-2015/home,68,398,621
2017,AU,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/856276,68,501,777
2017,MU,/poetry-and-plays-2017,68,122,150
2017,SE,/fiction-and-nonfiction-2017,67,106,138
2016,FR,/how-writers-write-fiction-2015,66,94,124
2016,PH,/whitman-2016/,66,82,89
2017,NZ,/poetry-and-plays-2017,66,262,353
2017,UG,/poetry-and-plays-2017,66,114,165
2015,DE,/how-writers-write-fiction-2015,65,191,242
2017,GB,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/856276,65,940,"1,358"
2017,TR,/fiction-and-nonfiction-2017,65,91,138
2017,CH,/fiction-and-nonfiction-2017,63,138,178
2017,LB,/poetry-and-plays-2017,63,109,140
2017,AF,/poetry-and-plays-2017/,62,94,152
2017,GB,/how-writers-write-fiction-2015,62,78,91
2017,GH,/fiction-and-nonfiction-2017,62,111,153
2017,IN,/poetry-and-plays-2017/,62,109,135
2017,MY,/poetry-and-plays-2017,62,116,157
2015,DE,/how-writers-write-fiction-2015/home,61,938,"1,417"
2016,DE,/whitman-2016/,61,88,107
2016,EG,/how-writers-write-fiction-2016/home,61,175,280
2016,GR,/how-writers-write-fiction-2016,61,142,188
2017,CN,/poetry-and-plays-2017,61,81,97
2017,GR,/poetry-and-plays-2017,61,206,250
2015,GB,/how-writers-write-fiction-2015/?referral_token=NL111015,60,72,106
2017,FR,/poetry-and-plays-2017,60,106,142
