# ----------------------------------------
# All Web Site Data
# Export Metrics (Filter U.S.A.)
# 20150101-20170719
# ----------------------------------------

Year,Country,Page Title,Pageviews
2017,Canada,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"47,458"
2017,United Kingdom,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"43,822"
2017,Australia,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"42,828"
2017,India,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"40,521"
2016,Canada,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"26,192"
2015,Canada,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"25,296"
2016,United Kingdom,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"25,277"
2016,Australia,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"23,915"
2017,Philippines,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"23,207"
2015,United Kingdom,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"20,219"
2017,New Zealand,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"17,294"
2017,South Africa,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"16,446"
2017,Nigeria,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"15,873"
2015,Australia,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"13,860"
2017,France,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"11,251"
2015,India,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"11,123"
2015,New Zealand,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"11,121"
2017,Bangladesh,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,"9,499"
2016,India,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"9,473"
2017,Ireland,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"8,626"
2017,Malaysia,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"8,475"
2016,New Zealand,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"7,668"
2016,Brazil,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"7,375"
2015,France,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"7,281"
2017,United Arab Emirates,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"6,776"
2017,Pakistan,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"6,776"
2015,Germany,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"6,552"
2017,India,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,"6,382"
2017,India,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,"6,308"
2017,Germany,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"5,665"
2017,Mauritius,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"5,608"
2017,Singapore,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"5,343"
2017,Greece,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"5,280"
2017,Brazil,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"5,205"
2016,Germany,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"5,108"
2016,France,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"5,064"
2017,Spain,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"5,012"
2015,Canada,Assignments - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"5,005"
2017,Mexico,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"4,784"
2017,Ethiopia,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"4,781"
2017,Indonesia,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"4,689"
2015,Brazil,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"4,570"
2015,South Africa,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"4,551"
2016,South Africa,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"4,435"
2017,Israel,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"4,335"
2016,Pakistan,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"4,257"
2015,Turkey,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"4,255"
2015,Nigeria,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"3,996"
2015,Russia,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"3,962"
2015,Sweden,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"3,895"
2016,Canada,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd","3,861"
2016,Israel,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"3,831"
2016,Ireland,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"3,687"
2017,India,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,"3,686"
2017,Netherlands,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"3,620"
2017,United Kingdom,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,"3,619"
2017,Kenya,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"3,563"
2017,Australia,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,"3,405"
2017,Canada,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,"3,342"
2017,Hong Kong,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"3,316"
2015,United Kingdom,Assignments - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"3,302"
2017,United Kingdom,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,"3,302"
2017,Poland,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"3,209"
2017,Canada,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,"3,184"
2016,Spain,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"3,112"
2016,Greece,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"3,092"
2016,India,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd","3,064"
2016,Australia,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd","3,056"
2016,United Kingdom,"Whitman's Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd","2,950"
2015,Malaysia,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"2,933"
2016,United Kingdom,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd","2,928"
2015,Singapore,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"2,896"
2015,Greece,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"2,871"
2017,Russia,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"2,851"
2017,Lebanon,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"2,833"
2016,Singapore,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"2,820"
2015,Netherlands,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"2,814"
2015,Philippines,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"2,795"
2015,Mexico,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"2,763"
2017,Australia,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,"2,668"
2017,Ghana,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"2,638"
2017,Nepal,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,"2,630"
2015,Egypt,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"2,565"
2016,Mexico,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"2,552"
2017,Switzerland,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"2,547"
2017,Austria,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"2,530"
2016,Australia,"Whitman's Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd","2,505"
2017,South Korea,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"2,505"
2016,Canada,"Whitman's Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd","2,502"
2017,Italy,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"2,498"
2016,New Zealand,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd","2,489"
2017,Kuwait,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"2,488"
2015,Argentina,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"2,475"
2016,Morocco,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"2,473"
2015,Thailand,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"2,415"
2017,Egypt,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"2,387"
2016,India,#Flashwrite Teen Poetry MOOC | The University of Iowa | NovoEd,"2,375"
2015,Spain,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"2,331"
2015,Italy,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"2,320"
2017,Portugal,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"2,314"
2016,Sweden,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"2,311"
2015,Pakistan,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"2,276"
2015,Poland,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"2,268"
2016,New Zealand,"Whitman's Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd","2,260"
2016,New Zealand,#Flashwrite Teen Poetry MOOC | The University of Iowa | NovoEd,"2,207"
2016,Nigeria,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"2,189"
2015,New Zealand,Assignments - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"2,179"
2015,Australia,Assignments - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"2,173"
2016,India,"Whitman's Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd","2,145"
2016,Egypt,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"2,139"
2017,Nigeria,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,"2,102"
2017,Guyana,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"2,069"
2016,Italy,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"2,053"
2017,Pakistan,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,"2,046"
2017,Saudi Arabia,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"2,024"
