# ----------------------------------------
# All Web Site Data
# Export Metrics (Filter U.S.A.)
# 20150101-20170719
# ----------------------------------------

Year,Country,Page Title,Unique Pageviews
2017,Canada,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"30,893"
2017,United Kingdom,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"29,045"
2017,Australia,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"28,410"
2017,India,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"27,286"
2016,Canada,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"19,527"
2016,United Kingdom,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"18,626"
2016,Australia,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"17,361"
2015,Canada,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"15,814"
2017,Philippines,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"15,035"
2015,United Kingdom,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"13,224"
2017,New Zealand,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"11,648"
2017,South Africa,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"10,566"
2017,Nigeria,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"10,049"
2015,Australia,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"9,139"
2017,Bangladesh,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,"7,852"
2015,India,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"7,611"
2016,India,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"7,422"
2017,France,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"7,246"
2015,New Zealand,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"6,139"
2016,New Zealand,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"5,958"
2016,Brazil,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"5,861"
2017,Ireland,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"5,482"
2017,Malaysia,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"5,064"
2017,India,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,"4,828"
2015,France,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"4,711"
2017,United Arab Emirates,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"4,561"
2017,Pakistan,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"4,366"
2015,Germany,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"4,148"
2017,India,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,"4,007"
2016,Germany,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"3,976"
2016,France,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"3,900"
2017,Brazil,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"3,763"
2017,Germany,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"3,757"
2017,Greece,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"3,709"
2017,Singapore,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"3,466"
2017,Mexico,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"3,426"
2017,Mauritius,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"3,419"
2016,South Africa,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"3,325"
2016,Pakistan,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"3,318"
2017,Spain,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"3,309"
2015,Brazil,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"3,228"
2017,Indonesia,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"3,191"
2015,Canada,Assignments - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"3,067"
2017,Ethiopia,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"2,854"
2016,Israel,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"2,812"
2015,South Africa,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"2,745"
2016,Canada,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd","2,730"
2015,Russia,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"2,725"
2016,Ireland,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"2,699"
2017,India,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,"2,685"
2017,Israel,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"2,604"
2017,Canada,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,"2,467"
2017,Netherlands,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"2,460"
2016,Greece,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"2,403"
2017,United Kingdom,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,"2,389"
2015,Sweden,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"2,363"
2015,Nigeria,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"2,358"
2017,Kenya,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"2,346"
2016,Australia,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd","2,305"
2016,Spain,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"2,295"
2016,United Kingdom,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd","2,234"
2016,India,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd","2,232"
2016,United Kingdom,"Whitman's Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd","2,175"
2017,Nepal,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,"2,156"
2017,United Kingdom,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,"2,152"
2015,United Kingdom,Assignments - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"2,135"
2016,Singapore,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"2,088"
